City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
588,Katobu,ID,80.15,overcast clouds,-4.9408,122.5276,La Ode Husein
592,La Romana,DO,78.53,overcast clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
596,Bambanglipuro,ID,82.67,broken clouds,-7.95,110.2833,Puri Brata
601,Eyl,SO,89.94,few clouds,7.9803,49.8164,Amiin Hotel
604,Porbandar,IN,89.89,clear sky,21.6422,69.6093,Lords Inn Porbandar
606,Bossangoa,CF,85.51,few clouds,6.4926,17.4552,LA PERLE DE BOSTON
607,Nazilli,TR,83.5,clear sky,37.9163,28.3223,Gül Palast
609,Acapulco,MX,81.07,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
610,Uvira,CD,77.0,broken clouds,-3.4067,29.1458,Hotel Suzana
613,Port Hedland,AU,87.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
623,Teshie,GH,82.81,broken clouds,5.5836,-0.1072,Adinkra Lodge
624,Tateyama,JP,76.01,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
632,Popondetta,PG,76.15,few clouds,-8.7537,148.2534,Timos Transit House
633,Shamary,RU,82.49,clear sky,57.3434,58.2199,
635,Tubuala,PA,77.32,overcast clouds,9.5167,-79.0333,Río Nabagana
643,Dwarka,IN,88.14,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
645,Itoman,JP,84.22,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
648,Parrita,CR,81.05,overcast clouds,9.5201,-84.3225,Beso del Viento
651,Mayo,US,77.41,clear sky,38.8876,-76.5119,Resorts Resource Group International
652,Bubaque,GW,79.25,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
655,Tamiahua,MX,76.05,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
660,Dharchula,IN,87.06,few clouds,29.85,80.5333,Mahara Hotel
662,Damara,CF,82.63,overcast clouds,4.9608,18.7035,
663,Isiro,CD,75.36,overcast clouds,2.7739,27.616,Guest House Hewa Bora
666,Manicore,BR,75.04,broken clouds,-5.8092,-61.3003,Hotel Durval
667,Tarakan,ID,87.3,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
668,Mitsamiouli,KM,80.44,clear sky,-11.3847,43.2844,Foyer ADM
672,Bitam,GA,76.33,broken clouds,2.076,11.5007,Bénédicta hôtel
