City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Caravelas,-17.7125,-39.2481,71.87,95,100,8.68,overcast clouds
112,Nantucket,41.2835,-70.0995,55.96,71,1,9.22,clear sky
113,Gejiu,23.306,103.1635,68.49,70,96,6.38,overcast clouds
114,Murray Bridge,-35.1167,139.2667,77.43,32,100,18.34,overcast clouds
115,Asilah,35.465,-6.0348,62.56,59,0,4.72,clear sky
116,Castro,-24.7911,-50.0119,43.41,75,36,9.1,scattered clouds
117,Merritt Island,28.5392,-80.672,73.98,70,1,5.53,clear sky
118,Bathsheba,13.2167,-59.5167,79.41,77,100,19.08,overcast clouds
119,Barstow,34.8986,-117.0228,66.9,37,0,5.08,clear sky
120,Eustis,28.8528,-81.6853,67.91,87,1,3.42,clear sky
121,Sao Filipe,14.8961,-24.4956,72.55,80,12,12.39,few clouds
122,Tonantins,-2.8731,-67.8022,72.59,99,42,1.1,scattered clouds
123,Faanui,-16.4833,-151.75,81.41,75,65,7.58,broken clouds
124,Kingman,35.1894,-114.053,62.19,22,0,1.23,clear sky
125,Leningradskiy,69.3833,178.4167,32.16,92,35,4.5,scattered clouds
126,Kati,12.7441,-8.0726,81.81,43,57,2.82,broken clouds
127,Rudnogorsk,57.2639,103.7519,60.26,32,100,6.71,overcast clouds
128,Pisco,-13.7,-76.2167,62.02,82,24,3.44,few clouds
129,Byron Bay,-28.65,153.6167,67.05,70,60,12.53,broken clouds
130,Maltahohe,-24.8333,16.9833,60.69,35,5,5.73,clear sky
131,Vila Franca Do Campo,37.7167,-25.4333,52.21,78,88,1.01,overcast clouds
132,Tiznit,29.5833,-9.5,66.63,42,96,1.77,overcast clouds
133,Henderson,36.0397,-114.9819,72.84,16,1,0.96,clear sky
134,Yeniseysk,58.4497,92.1703,56.1,76,100,16.89,light rain
135,Samarai,-10.6167,150.6667,80.26,72,78,18.25,broken clouds
136,Dingle,10.9995,122.6711,89.38,58,23,4.36,few clouds
137,Cuamba,-14.8031,36.5372,69.98,62,65,10.69,broken clouds
138,Cabo San Lucas,22.8909,-109.9124,74.61,68,0,9.53,clear sky
139,Tiksi,71.6872,128.8694,37.17,83,100,12.8,overcast clouds
140,Aklavik,68.2191,-135.0107,31.03,91,100,15.37,overcast clouds
141,San Cristobal,7.7669,-72.225,66.47,91,100,2.73,overcast clouds
142,Kargopol,61.5071,38.9456,50.23,93,99,7.45,overcast clouds
143,Tongliao,43.6125,122.2653,66.61,15,100,17.18,overcast clouds
144,Torbay,47.6666,-52.7314,35.58,94,90,25.32,moderate rain
145,Zhigansk,66.7697,123.3711,53.1,28,0,5.7,clear sky
146,Kodiak,57.79,-152.4072,47.71,66,1,16.11,clear sky
147,Havre-Saint-Pierre,50.2334,-63.5986,35.96,64,20,11.5,few clouds
148,Isangel,-19.55,169.2667,71.42,71,26,10.02,scattered clouds
149,San Quintin,30.4833,-115.95,58.66,88,9,9.64,clear sky
150,Arraial Do Cabo,-22.9661,-42.0278,74.84,78,86,11.5,overcast clouds
151,La Romana,18.4273,-68.9728,78.53,82,96,8.86,overcast clouds
152,Nalut,30.3333,10.85,90.82,13,50,8.81,scattered clouds
153,Ibirama,-27.0569,-49.5178,58.32,64,81,8.03,broken clouds
154,Hermanus,-34.4187,19.2345,63.23,54,100,6.71,overcast clouds
155,Bilma,18.6853,12.9164,90.95,9,0,0.45,clear sky
156,Los Llanos De Aridane,28.6585,-17.9182,62.35,72,75,19.46,broken clouds
157,Vostok,46.4856,135.8833,44.26,95,100,1.45,overcast clouds
158,Luderitz,-26.6481,15.1594,72.3,34,100,4.72,overcast clouds
159,Villa Maria,-32.4075,-63.2402,46.4,54,3,5.86,clear sky
160,Kavieng,-2.5744,150.7967,82.71,75,100,2.75,light rain
161,Ixtapa,20.7,-105.2,75.22,75,0,2.66,clear sky
162,Kuytun,54.3419,101.5036,43.52,97,100,6.85,moderate rain
163,Port Elizabeth,-33.918,25.5701,68.29,37,0,5.75,clear sky
164,Nanakuli,21.3906,-158.1547,78.75,76,75,1.5,broken clouds
165,Camopi,3.1655,-52.3158,72.7,100,100,1.61,overcast clouds
166,Esperance,-33.8667,121.9,46.24,69,100,26.04,overcast clouds
167,Kaitangata,-46.2817,169.8464,45.93,67,100,2.19,overcast clouds
168,Laguna,38.421,-121.4238,64.22,68,1,1.01,clear sky
169,Saint George,37.1041,-113.5841,64.99,29,1,1.01,clear sky
170,Upernavik,72.7868,-56.1549,18.27,89,32,7.18,scattered clouds
171,Aktash,50.3,87.7333,55.76,45,100,7.23,overcast clouds
172,Ayagoz,47.9714,80.4392,80.8,25,0,17.38,clear sky
